Country,Age group,Gender,Role,AI usage frequency,Tasks to automate,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
United Kingdom,18–25,Female,Working Professional,Occasionally,Research,Emotional tasks,5,3,2,3,2,Data-heavy tasks,Creative judgment,Yes,Training,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
Australia,26–60,Male,Student,Daily,Repetitive work,Creative judgment,3,4,4,5,4,Repetitive work,Creative judgment,Yes,Transparency,Positive,Yes,Human supervision always,Assist only when asked
India,26–60,Prefer not to say,Student,Occasionally,Routine tasks,Creative judgment,2,3,1,2,3,Analytical tasks,High-risk tasks,No,Accuracy,Mixed,No,Human supervision always,Assist only when asked
Australia,Under 18,Female,Working Professional,Daily,Writing tasks,Emotional tasks,2,3,5,2,4,Low-risk tasks,Sensitive personal data,No,Accuracy,Mixed,Yes,AI handles small tasks only,Be transparent
Australia,Under 18,Male,Working Professional,Weekly,Repetitive work,Medical decisions,1,3,1,5,2,Repetitive work,Requires empathy,Yes,Human oversight,Mixed,Not sure,Shared control,Do not decide personal matters
Australia,18–25,Female,Working Professional,Weekly,Routine tasks,Safety-critical tasks,3,2,4,3,1,Analytical tasks,Creative judgment,Yes,Training,Mixed,No,Human supervision always,Be transparent
Bangladesh,18–25,Male,Working Professional,Weekly,Writing tasks,Safety-critical tasks,5,3,2,5,4,Repetitive work,Sensitive personal data,No,Ethical guidelines,Mixed,No,Human supervision always,Do not decide personal matters
Russia,18–25,Male,Working Professional,Occasionally,Study help,Medical decisions,1,1,1,4,1,Low-risk tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Not sure,Shared control,Be transparent
Bangladesh,26–60,Male,Working Professional,Daily,Routine tasks,Creative judgment,1,1,3,5,3,Data-heavy tasks,High-risk tasks,Yes,Human oversight,Negative,No,Human supervision always,Protect privacy
USA,18–25,Prefer not to say,Working Professional,Occasionally,Writing tasks,Medical decisions,1,5,5,5,2,Data-heavy tasks,High-risk tasks,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Russia,18–25,Prefer not to say,Working Professional,Occasionally,Data analysis,Legal decisions,5,2,3,3,4,Analytical tasks,Creative judgment,No,Ethical guidelines,Negative,No,Human final approval required,Protect privacy
Bangladesh,26–60,Male,Working Professional,Occasionally,Data analysis,Emotional tasks,2,5,5,4,4,Low-risk tasks,Requires empathy,Yes,Human oversight,Cautious,Not sure,AI handles small tasks only,Protect privacy
India,Under 18,Female,Working Professional,Daily,Data analysis,Emotional tasks,3,2,2,3,4,Repetitive work,Creative judgment,Yes,Ethical guidelines,Mixed,No,Human final approval required,Do not decide personal matters
United Kingdom,Under 18,Female,Student,Daily,Routine tasks,Emotional tasks,2,2,3,1,4,Analytical tasks,High-risk tasks,No,Human oversight,Curious but worried,Not sure,AI handles small tasks only,Do not decide personal matters
United Kingdom,18–25,Female,Student,Weekly,Routine tasks,Safety-critical tasks,4,4,1,2,4,Analytical tasks,Creative judgment,Yes,Training,Cautious,Yes,Shared control,Assist only when asked
Bangladesh,18–25,Female,Student,Weekly,Research,Safety-critical tasks,3,1,1,5,2,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Positive,Not sure,Human final approval required,Do not decide personal matters
Russia,26–60,Female,Student,Occasionally,Research,Legal decisions,1,3,5,1,5,Repetitive work,High-risk tasks,No,Human oversight,Cautious,Not sure,Shared control,Protect privacy
Bangladesh,18–25,Prefer not to say,Student,Daily,Data analysis,Creative judgment,2,1,4,4,4,Low-risk tasks,Requires empathy,Yes,Training,Cautious,Not sure,Shared control,Assist only when asked
India,26–60,Prefer not to say,Student,Occasionally,Writing tasks,Creative judgment,1,5,4,5,2,Repetitive work,Requires empathy,Yes,Training,Positive,Yes,Shared control,Be transparent
Bangladesh ,18–25,Male,Student,Daily,"Things that are time consuming, finding stuff, learning new things.","Medical help , real life personal decisions.",4,4,5,5,3,"Data-driven or analytical tasks, Time-consuming administrative work",Has high risk or safety consequences,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Weekly,Simple question and straight forward answers that google don't give ne,Anything that's need creative idea,3,4,5,5,4,Time-consuming administrative work,Has high risk or safety consequences,Yes,Transparency (AI explains how it works),Curious but worried,No,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Everything ,Critical decision making,5,4,5,5,3,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Not sure,Both integration,Other minor rules
United Kingdom ,18–25,Male,Student,Occasionally,Research ,Creativity,3,4,5,5,1,"Data-driven or analytical tasks, Time-consuming administrative work",Involves sensitive/personal information,No,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Student ,18–25,Female,Student,Daily, economics & sometimes statistics ,No answer ,3,4,3,4,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Graphic design,Life related,4,4,2,3,4,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
Russia,18–25,Male,Working Professional,Daily,Everything. Let the shit cook for me,"In the future, nothing. Currently, everything.",4,4,3,3,2,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
United Kingdom ,18–25,Female,Working Professional,Daily,Calvulation and Error cecking,Emotional and creative,4,3,4,4,4,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,Study ,AI,5,5,5,5,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,Yes,Transparency (AI explains how it works),Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,Tutoring and study,Personal decisions ,3,4,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work",Requires empathy or emotional understanding,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
India ,26–60,Prefer not to say,Student,Weekly,Writing essays ,Medical practice ,3,3,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Occasionally,Writing practical notebooks,Data observation,4,3,5,5,5,"Time-consuming administrative work, Practical notebook writing(as a bauian agri-64 I need that)","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Not sure,Both integration,Other minor rules
🙂😀 nothing ,Under 18,Female,Student,Daily,Yes,Nothing ,3,3,3,3,3,Time-consuming administrative work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,Human oversight or approval options,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,Yes,AI and Automation supervision ,5,5,5,5,5,Data-driven or analytical tasks,Requires empathy or emotional understanding,Yes,Accuracy and reliability of results,Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Occasionally,,Answering human base ,1,3,3,2,1,"Data-driven or analytical tasks, Time-consuming administrative work","Requires empathy or emotional understanding, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results",Curious but worried,Not sure,Both integration,Other minor rules
USA,18–25,Female,Student,Daily,Study Overview ,"Tasks involving ethical judgments, emotional understanding, and complex social decisions should always involve human oversight.
Also, critical responsibilities like healthcare, legal decisions, and safety-sensitive operations must remain under human control.
",4,3,4,5,3,Routine or repetitive work,Has high risk or safety consequences,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Weekly,Repetitive labour heavy  task,Task affecting human safety directly ,4,4,4,4,1,Routine or repetitive work,Requires empathy or emotional understanding,No,Legal or ethical guidelines,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Occasionally,Exam preparation ,Morality ,5,4,5,5,4,Routine or repetitive work,Has high risk or safety consequences,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,May be all,To make decision about my self,4,3,4,5,4,"Routine or repetitive work, Time-consuming administrative work",Needs creativity or intuition,No,"Transparency (AI explains how it works), Familiarity and training",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,Taking exam preparation and those where solution are quickly need .,"In Those work where emotion , love , creativity , team work , sensitive situation and subject....... etc. are need .. ",5,4,3,5,5,"Routine or repetitive work, Data-driven or analytical tasks, Making any tech application or project easily . ","Requires empathy or emotional understanding, Involves sensitive/personal information, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Accuracy and reliability of results, Familiarity and training, Give proper solution after giving proper prompt and clear picture and video . ",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,"Repeated manual tasks, code generation, some parts of assignments and reports like introduction and conclusion, etc.","Coding, intermediate or advanced computer science stuffs, Arduino and EEE related stuffs etc.",5,3,4,5,3,"Routine or repetitive work, Tasks requiring no emotion or creativity, Writing. Idea generation. Information and resources gathering. Recommendations","Has high risk or safety consequences, Needs creativity or intuition, Religion. Critical thinking. Cyber Security",Yes,"Human oversight or approval options, Accuracy and reliability of results, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,For now there is nothing that I can think of which i want to automate as I am still a student.,"Anything than concerns human life must involve human decision making. Ex: doctor, architect,civil engineer, psychologist etc.",3,2,2,4,1,Routine or repetitive work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,Problem solving ,"Human Rights, Liberty, and Legal Authority",5,3,4,5,4,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",No,"Accuracy and reliability of results, Familiarity and training",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh ,18–25,Male,Working Professional,Daily,Copy the repetitive work,Decision making ,4,4,4,5,3,Routine or repetitive work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,Transparency (AI explains how it works),Curious but worried,Yes,Both integration,Other minor rules
Middle Eastern  ,Under 18,Prefer not to say,Student,Occasionally,"Math related stuff, mostly physics. ","Medical procedures, when making an essay or article about personal opinions, and situations involved with emotional risks or decision.",3,1,1,3,2,"Data-driven or analytical tasks, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,26–60,Female,Student,Daily,Research and study,Every task. as AI is not reliable.,4,3,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Human oversight or approval options, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh ,18–25,Male,Student,Daily,"Personal questions, education ",Situation ,5,3,1,5,4,Time-consuming administrative work,Involves sensitive/personal information,Yes,Transparency (AI explains how it works),Curious but worried,No,Both integration,Other minor rules
India,18–25,Prefer not to say,Working Professional,Daily,Drafting emails or reports,Creative judgment; Human rights,4,3,5,4,3,Data-heavy tasks,Involves sensitive/personal information,Yes,Human oversight,Mixed,No,AI handles small tasks only,Human supervision always
Middle Eastern,18–25,Male,Student,Daily,Calculation and error checking,Medical decisions; Emotional tasks,4,3,2,4,2,Data-driven or analytical tasks,Creative judgment,No,Training,Negative,Yes,Human supervision always,Human supervision always
Bangladesh,26–60,Male,Working Professional,Daily,Problem solving; Data analysis,Legal decisions; Medical help,3,3,2,5,2,Low-risk tasks,Involves sensitive/personal information,No,Accuracy and reliability of results,Ambivalent,Yes,Shared control,Human final approval required
Other,18–25,Male,Working Professional,Daily,Study help; Routine tasks,Creative judgment; Hiring decisions,3,3,3,4,5,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Ethical guidelines,Mixed,No,Shared control,Always explain decisions
Bangladesh,18–25,Male,Student,Weekly,Data entry,Safety-critical tasks,4,4,4,4,5,Repetitive work,High-risk tasks,Yes,Accuracy and reliability of results,Mixed,Not sure,Human supervision always,Assist only when asked
United Kingdom,18–25,Male,Student,Daily,Drafting emails or reports,Human rights; Personal decisions,3,4,3,4,5,Time-consuming administrative work,Creative judgment,No,Accuracy and reliability of results,Negative,No,AI handles small tasks only,Be transparent
Middle Eastern,26–60,Male,Working Professional,Daily,Graphic design,Human rights; Ethical judgments,4,3,3,5,3,Time-consuming administrative work,High-risk tasks,Yes,Human oversight,Ambivalent,Not sure,Human supervision always,Protect privacy
Australia,18–25,Male,Student,Daily,Problem solving,Hiring decisions,5,3,2,3,3,Data-driven or analytical tasks,Needs creativity or intuition,Yes,Ethical guidelines,Cautious,No,Both integration,Be transparent
Australia,18–25,Male,Working Professional,Occasionally,Repetitive work,Human rights,3,3,1,4,4,Analytical tasks,Sensitive personal data,No,Human oversight,Mixed,No,Shared control,Always explain decisions
USA,18–25,Female,Student,Occasionally,Graphic design; Tutoring and study,Ethical judgments; Medical help,4,3,3,4,2,Repetitive work,Sensitive personal data,Yes,Accuracy and reliability of results,Positive,Yes,Both integration,Assist only when asked
Bangladesh,26–60,Male,Working Professional,Weekly,Data analysis; Problem solving,Hiring decisions,5,2,5,3,3,Data-driven or analytical tasks,Creative judgment,Yes,Ethical guidelines,Ambivalent,Not sure,Both integration,Always explain decisions
India,Under 18,Female,Working Professional,Daily,Routine tasks; Graphic design,Ethical judgments; Medical decisions,5,3,2,3,3,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Transparency,Curious but worried,No,AI handles small tasks only,Assist only when asked
Other,18–25,Female,Student,Weekly,Data entry,Ethical judgments,5,4,1,3,2,Time-consuming administrative work,Sensitive personal data,Yes,Transparency,Positive,Not sure,Shared control,Do not decide personal matters
United Kingdom,26–60,Female,Working Professional,Weekly,Repetitive work; Graphic design,Ethical judgments; Hiring decisions,4,3,3,3,4,Repetitive work,Involves sensitive/personal information,No,Ethical guidelines,Negative,Yes,AI handles small tasks only,Be transparent
United Kingdom,26–60,Male,Student,Weekly,Problem solving,Emotional tasks,3,3,4,3,3,Analytical tasks,Needs creativity or intuition,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Assist only when asked
Russia,26–60,Male,Working Professional,Weekly,Research; Tutoring and study,Creative judgment; Hiring decisions,3,5,3,3,4,Repetitive work,Requires empathy,No,Familiarity and training,Cautious,Not sure,AI handles small tasks only,Be transparent
United Kingdom,18–25,Prefer not to say,Working Professional,Daily,Code generation; Data analysis,Safety-critical tasks,5,3,2,4,2,Low-risk tasks,Requires empathy,No,Training,Mixed,Not sure,Both integration,Be transparent
Australia,18–25,Female,Working Professional,Daily,Code generation,Medical help,5,2,3,3,2,Data-heavy tasks,High-risk tasks,No,Accuracy and reliability of results,Ambivalent,Yes,Human supervision always,Always explain decisions
Bangladesh,26–60,Female,Student,Occasionally,Routine tasks,Hiring decisions,5,5,4,4,4,Data-heavy tasks,Involves sensitive/personal information,No,Human oversight or approval options,Mixed,Yes,AI handles small tasks only,Do not decide personal matters
Bangladesh,18–25,Male,Working Professional,Daily,Routine tasks; Organizing notes,Safety-critical tasks,5,1,4,4,2,Data-heavy tasks,Involves sensitive/personal information,Yes,Human oversight,Cautious,No,Human final approval required,Do not decide personal matters
United Kingdom,26–60,Male,Working Professional,Daily,Repetitive work; Study help,Personal decisions; Creative judgment,4,2,5,3,4,Low-risk tasks,Requires empathy,Yes,Human oversight or approval options,Positive,Not sure,Shared control,Assist only when asked
USA,18–25,Male,Student,Occasionally,Repetitive work,Personal decisions,3,4,2,5,4,Low-risk tasks,High-risk tasks,Yes,Training,Cautious,No,Human final approval required,Protect privacy
Australia,26–60,Male,Working Professional,Weekly,Data analysis,Safety-critical tasks; Human rights,3,4,1,4,4,Repetitive work,Needs creativity or intuition,Yes,Human oversight or approval options,Mixed,Yes,AI handles small tasks only,Do not hallucinate
Russia,18–25,Male,Student,Daily,Tutoring and study; Data entry,Hiring decisions,4,2,5,5,2,Time-consuming administrative work,High-risk tasks,No,Clear explanations,Curious but worried,No,Both integration,Do not decide personal matters
Australia,18–25,Female,Working Professional,Daily,Problem solving; Data entry,Hiring decisions,5,2,3,5,2,Low-risk tasks,Requires empathy,No,Clear explanations,Curious but worried,No,Shared control,Always explain decisions
Russia,18–25,Male,Working Professional,Daily,Data entry,Hiring decisions,5,2,3,4,3,Data-heavy tasks,Requires empathy,Yes,Transparency,Positive,Yes,Human final approval required,Human supervision always
USA,26–60,Female,Working Professional,Weekly,Tutoring and study,Legal decisions,4,2,4,5,3,Repetitive work,Requires empathy,Yes,Familiarity and training,Positive,No,AI handles small tasks only,Always explain decisions
Other,18–25,Prefer not to say,Student,Daily,Data entry; Problem solving,Emotional tasks; Ethical judgments,4,4,4,4,3,Repetitive work,High-risk tasks,Yes,Training,Mixed,No,Shared control,Human final approval required
India,18–25,Female,Working Professional,Daily,Study help,Personal decisions,5,2,4,4,3,Data-driven or analytical tasks,Requires empathy,Yes,Human oversight,Curious but worried,No,Both integration,Always explain decisions
Bangladesh,Under 18,Male,Student,Occasionally,Calculation and error checking; Repetitive work,Hiring decisions; Personal decisions,4,3,3,4,3,Repetitive work,Needs creativity or intuition,Yes,Familiarity and training,Negative,Yes,Human final approval required,Be transparent
United Kingdom,Under 18,Female,Working Professional,Daily,Code generation,Human rights; Medical decisions,5,1,2,5,3,Analytical tasks,Involves sensitive/personal information,No,Ethical guidelines,Curious but worried,Yes,Human supervision always,Do not hallucinate
Middle Eastern,Under 18,Male,Student,Daily,Organizing notes; Data entry,Hiring decisions; Legal decisions,4,2,4,5,3,Repetitive work,Sensitive personal data,Yes,Clear explanations,Negative,No,AI handles small tasks only,Be transparent
USA,18–25,Prefer not to say,Student,Occasionally,Calculation and error checking,Human rights,4,3,3,5,5,Data-heavy tasks,Creative judgment,No,Clear explanations,Negative,No,AI handles small tasks only,Do not decide personal matters
Middle Eastern,18–25,Female,Working Professional,Occasionally,Drafting emails or reports; Research,Human rights,4,2,2,3,4,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Human oversight,Ambivalent,No,Both integration,Human supervision always
India,26–60,Prefer not to say,Working Professional,Daily,Repetitive work; Data entry,Ethical judgments; Legal decisions,5,2,2,5,3,Repetitive work,High-risk tasks,No,Ethical guidelines,Curious but worried,Yes,Both integration,Human final approval required
Australia,26–60,Male,Working Professional,Daily,Data entry; Research,Hiring decisions,4,4,1,4,4,Repetitive work,Requires empathy,No,Human oversight or approval options,Cautious,Yes,Human supervision always,Do not decide personal matters
Australia,18–25,Male,Working Professional,Weekly,Problem solving,Legal decisions,3,2,1,5,4,Data-heavy tasks,Involves sensitive/personal information,No,Familiarity and training,Mixed,No,Human final approval required,Always explain decisions
USA,18–25,Female,Working Professional,Daily,Tutoring and study; Exam preparation,Ethical judgments; Medical help,5,4,4,5,2,Time-consuming administrative work,High-risk tasks,No,Clear explanations,Cautious,No,Human supervision always,Human final approval required
United Kingdom,18–25,Male,Working Professional,Daily,Research,Hiring decisions; Medical help,4,3,5,4,3,Time-consuming administrative work,High-risk tasks,Yes,Accuracy and reliability of results,Cautious,Yes,Shared control,Human final approval required
Australia,18–25,Male,Working Professional,Daily,Tutoring and study,Legal decisions; Medical decisions,5,2,2,3,4,Time-consuming administrative work,High-risk tasks,No,Familiarity and training,Curious but worried,Yes,AI handles small tasks only,Human final approval required
