Country,Age group,Gender,Role,AI usage frequency,Tasks to automate ,Tasks needing human oversight,AI makes routine tasks easier (1–5),Comfort with AI low-risk decisions (1–5),Worry about AI making sensitive decisions (1–5),Human judgment essential for creative tasks (1–5),Trust AI to act responsibly (1–5),What makes a task suitable for automation?,What makes a task unsuitable for automation?,Ever felt uncomfortable with AI?,What increases trust?,Country: general feeling about AI,AI reduces job opportunities?,Balance of human vs AI,One rule for AI
Bangladesh,26–60,Prefer not to say,Working Professional,Occasionally,Repetitive & Routine Tasks,Safety‑Critical Decisions,5,2,4,2,3,Low-risk tasks,High-risk tasks,Yes,Transparency,Cautious,Yes,AI handles small tasks only,Protect privacy
Bangladesh,Under 18,Male,Student,Occasionally,Research & Information,Legal & Policy Decisions,1,3,2,5,1,Repetitive work,High-risk tasks,Yes,Training,Negative,Yes,AI handles small tasks only,Be transparent
Russia,26–60,Prefer not to say,Student,Daily,Writing & Documentation,Medical & Health Decisions,1,1,1,5,1,Analytical tasks,Sensitive personal data,Yes,Transparency,Curious but worried,Yes,Shared control,Do not decide personal matters
Australia,26–60,Male,Student,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,5,2,2,3,1,Repetitive work,High-risk tasks,No,Human oversight,Curious but worried,Yes,Human final approval required,Protect privacy
Australia,Under 18,Male,Student,Weekly,Study & Learning Support,Creative & Value Judgment,2,4,2,1,2,Repetitive work,Creative judgment,Yes,Accuracy,Curious but worried,No,Shared control,Do not decide personal matters
Russia,18–25,Prefer not to say,Student,Occasionally,Repetitive & Routine Tasks,Legal & Policy Decisions,2,5,5,4,4,Analytical tasks,Requires empathy,No,Accuracy,Negative,Not sure,AI handles small tasks only,Assist only when asked
Russia,18–25,Female,Student,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,5,5,2,4,5,Analytical tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Yes,AI handles small tasks only,Be transparent
United Kingdom,18–25,Female,Working Professional,Occasionally,Research & Information,Emotional & Personal Matters,5,3,2,3,2,Data-heavy tasks,Creative judgment,Yes,Training,Curious but worried,Not sure,AI handles small tasks only,Protect privacy
Australia,26–60,Male,Student,Daily,Repetitive & Routine Tasks,Creative & Value Judgment,3,4,4,5,4,Repetitive work,Creative judgment,Yes,Transparency,Positive,Yes,Human supervision always,Assist only when asked
India,26–60,Prefer not to say,Student,Occasionally,Repetitive & Routine Tasks,Creative & Value Judgment,2,3,1,2,3,Analytical tasks,High-risk tasks,No,Accuracy,Mixed,No,Human supervision always,Assist only when asked
Australia,Under 18,Female,Working Professional,Daily,Writing & Documentation,Emotional & Personal Matters,2,3,5,2,4,Low-risk tasks,Sensitive personal data,No,Accuracy,Mixed,Yes,AI handles small tasks only,Be transparent
Australia,Under 18,Male,Working Professional,Weekly,Repetitive & Routine Tasks,Medical & Health Decisions,1,3,1,5,2,Repetitive work,Requires empathy,Yes,Human oversight,Mixed,Not sure,Shared control,Do not decide personal matters
Australia,18–25,Female,Working Professional,Weekly,Repetitive & Routine Tasks,Safety‑Critical Decisions,3,2,4,3,1,Analytical tasks,Creative judgment,Yes,Training,Mixed,No,Human supervision always,Be transparent
Bangladesh,18–25,Male,Working Professional,Weekly,Writing & Documentation,Safety‑Critical Decisions,5,3,2,5,4,Repetitive work,Sensitive personal data,No,Ethical guidelines,Mixed,No,Human supervision always,Do not decide personal matters
Russia,18–25,Male,Working Professional,Occasionally,Study & Learning Support,Medical & Health Decisions,1,1,1,4,1,Low-risk tasks,Sensitive personal data,Yes,Ethical guidelines,Mixed,Not sure,Shared control,Be transparent
Bangladesh,26–60,Male,Working Professional,Daily,Repetitive & Routine Tasks,Creative & Value Judgment,1,1,3,5,3,Data-heavy tasks,High-risk tasks,Yes,Human oversight,Negative,No,Human supervision always,Protect privacy
USA,18–25,Prefer not to say,Working Professional,Occasionally,Writing & Documentation,Medical & Health Decisions,1,5,5,5,2,Data-heavy tasks,High-risk tasks,Yes,Transparency,Positive,No,Shared control,Assist only when asked
Russia,18–25,Prefer not to say,Working Professional,Occasionally,Data & Analysis,Legal & Policy Decisions,5,2,3,3,4,Analytical tasks,Creative judgment,No,Ethical guidelines,Negative,No,Human final approval required,Protect privacy
Bangladesh,26–60,Male,Working Professional,Occasionally,Data & Analysis,Emotional & Personal Matters,2,5,5,4,4,Low-risk tasks,Requires empathy,Yes,Human oversight,Cautious,Not sure,AI handles small tasks only,Protect privacy
India,Under 18,Female,Working Professional,Daily,Data & Analysis,Emotional & Personal Matters,3,2,2,3,4,Repetitive work,Creative judgment,Yes,Ethical guidelines,Mixed,No,Human final approval required,Do not decide personal matters
United Kingdom,Under 18,Female,Student,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,2,2,3,1,4,Analytical tasks,High-risk tasks,No,Human oversight,Curious but worried,Not sure,AI handles small tasks only,Do not decide personal matters
United Kingdom,18–25,Female,Student,Weekly,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,4,1,2,4,Analytical tasks,Creative judgment,Yes,Training,Cautious,Yes,Shared control,Assist only when asked
Bangladesh,18–25,Female,Student,Weekly,Research & Information,Safety‑Critical Decisions,3,1,1,5,2,Data-heavy tasks,Sensitive personal data,Yes,Human oversight,Positive,Not sure,Human final approval required,Do not decide personal matters
Russia,26–60,Female,Student,Occasionally,Research & Information,Legal & Policy Decisions,1,3,5,1,5,Repetitive work,High-risk tasks,No,Human oversight,Cautious,Not sure,Shared control,Protect privacy
Bangladesh,18–25,Prefer not to say,Student,Daily,Data & Analysis,Creative & Value Judgment,2,1,4,4,4,Low-risk tasks,Requires empathy,Yes,Training,Cautious,Not sure,Shared control,Assist only when asked
India,26–60,Prefer not to say,Student,Occasionally,Writing & Documentation,Creative & Value Judgment,1,5,4,5,2,Repetitive work,Requires empathy,Yes,Training,Positive,Yes,Shared control,Be transparent
Bangladesh,18–25,Male,Student,Daily,Study & Learning Support,Medical & Health Decisions,4,4,5,5,3,"Data-driven or analytical tasks, Time-consuming administrative work",Has high risk or safety consequences,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Weekly,Other,Creative & Value Judgment,3,4,5,5,4,Time-consuming administrative work,Has high risk or safety consequences,Yes,Transparency (AI explains how it works),Curious but worried,No,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Other,Safety‑Critical Decisions,5,4,5,5,3,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Not sure,Both integration,Other minor rules
United Kingdom,18–25,Male,Student,Occasionally,Research & Information,Other,3,4,5,5,1,"Data-driven or analytical tasks, Time-consuming administrative work",Involves sensitive/personal information,No,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Student,18–25,Female,Student,Daily,Other,Other,3,4,3,4,5,Data-driven or analytical tasks,Has high risk or safety consequences,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Creative / Design (Low‑risk),Other,4,4,2,3,4,Data-driven or analytical tasks,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
Russia,18–25,Male,Working Professional,Daily,Other,Other,4,4,3,3,2,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
United Kingdom,18–25,Female,Working Professional,Daily,Data & Analysis,Emotional & Personal Matters,4,3,4,4,4,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Study & Learning Support,Other,5,5,5,5,5,Tasks requiring no emotion or creativity,Has high risk or safety consequences,Yes,Transparency (AI explains how it works),Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Study & Learning Support,Emotional & Personal Matters,3,4,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work",Requires empathy or emotional understanding,Yes,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
India,26–60,Prefer not to say,Student,Weekly,Writing & Documentation,Medical & Health Decisions,3,3,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Occasionally,Writing & Documentation,Other,4,3,5,5,5,"Time-consuming administrative work, Practical notebook writing(as a bauian agri-64 I need that)","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Accuracy and reliability of results, Legal or ethical guidelines",Curious but worried,Not sure,Both integration,Other minor rules
🙂😀 nothing,Under 18,Female,Student,Daily,Other,Other,3,3,3,3,3,Time-consuming administrative work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,Human oversight or approval options,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Other,Other,5,5,5,5,5,Data-driven or analytical tasks,Requires empathy or emotional understanding,Yes,Accuracy and reliability of results,Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Occasionally,Other,Other,1,3,3,2,1,"Data-driven or analytical tasks, Time-consuming administrative work","Requires empathy or emotional understanding, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results",Curious but worried,Not sure,Both integration,Other minor rules
USA,18–25,Female,Student,Daily,Study & Learning Support,Medical & Health Decisions,4,3,4,5,3,Routine or repetitive work,Has high risk or safety consequences,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Weekly,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,4,4,4,1,Routine or repetitive work,Requires empathy or emotional understanding,No,Legal or ethical guidelines,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Occasionally,Study & Learning Support,Ethical & Human Rights,5,4,5,5,4,Routine or repetitive work,Has high risk or safety consequences,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Other,Other,4,3,4,5,4,"Routine or repetitive work, Time-consuming administrative work",Needs creativity or intuition,No,"Transparency (AI explains how it works), Familiarity and training",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Study & Learning Support,Other,5,4,3,5,5,"Routine or repetitive work, Data-driven or analytical tasks, Making any tech application or project easily . ","Requires empathy or emotional understanding, Involves sensitive/personal information, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Accuracy and reliability of results, Familiarity and training, Give proper solution after giving proper prompt and clear picture and video . ",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Writing & Documentation,Other,5,3,4,5,3,"Routine or repetitive work, Tasks requiring no emotion or creativity, Writing. Idea generation. Information and resources gathering. Recommendations","Has high risk or safety consequences, Needs creativity or intuition, Religion. Critical thinking. Cyber Security",Yes,"Human oversight or approval options, Accuracy and reliability of results, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Other,Other,3,2,2,4,1,Routine or repetitive work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",No,"Transparency (AI explains how it works), Human oversight or approval options, Accuracy and reliability of results, Legal or ethical guidelines, Familiarity and training",Curious but worried,No,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Problem Solving & Coding (Basic),Legal & Policy Decisions,5,3,4,5,4,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",No,"Accuracy and reliability of results, Familiarity and training",Curious but worried,Not sure,Both integration,Other minor rules
Bangladesh,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Other,4,4,4,5,3,Routine or repetitive work,"Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences",Yes,Transparency (AI explains how it works),Curious but worried,Yes,Both integration,Other minor rules
Middle Eastern,Under 18,Prefer not to say,Student,Occasionally,Other,Medical & Health Decisions,3,1,1,3,2,"Data-driven or analytical tasks, Tasks requiring no emotion or creativity","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Accuracy and reliability of results",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,26–60,Female,Student,Daily,Study & Learning Support,Other,4,3,5,5,1,"Routine or repetitive work, Data-driven or analytical tasks, Time-consuming administrative work","Requires empathy or emotional understanding, Involves sensitive/personal information, Has high risk or safety consequences, Needs creativity or intuition",Yes,"Transparency (AI explains how it works), Human oversight or approval options, Legal or ethical guidelines",Curious but worried,Yes,Both integration,Other minor rules
Bangladesh,18–25,Male,Student,Daily,Other,Other,5,3,1,5,4,Time-consuming administrative work,Involves sensitive/personal information,Yes,Transparency (AI explains how it works),Curious but worried,No,Both integration,Other minor rules
India,18–25,Prefer not to say,Working Professional,Daily,Writing & Documentation,Ethical & Human Rights,4,3,5,4,3,Data-heavy tasks,Involves sensitive/personal information,Yes,Human oversight,Mixed,No,AI handles small tasks only,Human supervision always
Middle Eastern,18–25,Male,Student,Daily,Data & Analysis,Medical & Health Decisions,4,3,2,4,2,Data-driven or analytical tasks,Creative judgment,No,Training,Negative,Yes,Human supervision always,Human supervision always
Bangladesh,26–60,Male,Working Professional,Daily,Data & Analysis,Medical & Health Decisions,3,3,2,5,2,Low-risk tasks,Involves sensitive/personal information,No,Accuracy and reliability of results,Ambivalent,Yes,Shared control,Human final approval required
Other,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,3,3,3,4,5,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Ethical guidelines,Mixed,No,Shared control,Always explain decisions
Bangladesh,18–25,Male,Student,Weekly,Repetitive & Routine Tasks,Safety‑Critical Decisions,4,4,4,4,5,Repetitive work,High-risk tasks,Yes,Accuracy and reliability of results,Mixed,Not sure,Human supervision always,Assist only when asked
United Kingdom,18–25,Male,Student,Daily,Writing & Documentation,Ethical & Human Rights,3,4,3,4,5,Time-consuming administrative work,Creative judgment,No,Accuracy and reliability of results,Negative,No,AI handles small tasks only,Be transparent
Middle Eastern,26–60,Male,Working Professional,Daily,Creative / Design (Low‑risk),Ethical & Human Rights,4,3,3,5,3,Time-consuming administrative work,High-risk tasks,Yes,Human oversight,Ambivalent,Not sure,Human supervision always,Protect privacy
Australia,18–25,Male,Student,Daily,Problem Solving & Coding (Basic),Hiring & Career Decisions,5,3,2,3,3,Data-driven or analytical tasks,Needs creativity or intuition,Yes,Ethical guidelines,Cautious,No,Both integration,Be transparent
Australia,18–25,Male,Working Professional,Occasionally,Repetitive & Routine Tasks,Ethical & Human Rights,3,3,1,4,4,Analytical tasks,Sensitive personal data,No,Human oversight,Mixed,No,Shared control,Always explain decisions
USA,18–25,Female,Student,Occasionally,Study & Learning Support,Medical & Health Decisions,4,3,3,4,2,Repetitive work,Sensitive personal data,Yes,Accuracy and reliability of results,Positive,Yes,Both integration,Assist only when asked
Bangladesh,26–60,Male,Working Professional,Weekly,Data & Analysis,Hiring & Career Decisions,5,2,5,3,3,Data-driven or analytical tasks,Creative judgment,Yes,Ethical guidelines,Ambivalent,Not sure,Both integration,Always explain decisions
India,Under 18,Female,Working Professional,Daily,Repetitive & Routine Tasks,Medical & Health Decisions,5,3,2,3,3,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Transparency,Curious but worried,No,AI handles small tasks only,Assist only when asked
Other,18–25,Female,Student,Weekly,Repetitive & Routine Tasks,Ethical & Human Rights,5,4,1,3,2,Time-consuming administrative work,Sensitive personal data,Yes,Transparency,Positive,Not sure,Shared control,Do not decide personal matters
United Kingdom,26–60,Female,Working Professional,Weekly,Repetitive & Routine Tasks,Ethical & Human Rights,4,3,3,3,4,Repetitive work,Involves sensitive/personal information,No,Ethical guidelines,Negative,Yes,AI handles small tasks only,Be transparent
United Kingdom,26–60,Male,Student,Weekly,Problem Solving & Coding (Basic),Emotional & Personal Matters,3,3,4,3,3,Analytical tasks,Needs creativity or intuition,Yes,Accuracy and reliability of results,Curious but worried,Yes,Both integration,Assist only when asked
Russia,26–60,Male,Working Professional,Weekly,Study & Learning Support,Hiring & Career Decisions,3,5,3,3,4,Repetitive work,Requires empathy,No,Familiarity and training,Cautious,Not sure,AI handles small tasks only,Be transparent
United Kingdom,18–25,Prefer not to say,Working Professional,Daily,Data & Analysis,Safety‑Critical Decisions,5,3,2,4,2,Low-risk tasks,Requires empathy,No,Training,Mixed,Not sure,Both integration,Be transparent
Australia,18–25,Female,Working Professional,Daily,Problem Solving & Coding (Basic),Medical & Health Decisions,5,2,3,3,2,Data-heavy tasks,High-risk tasks,No,Accuracy and reliability of results,Ambivalent,Yes,Human supervision always,Always explain decisions
Bangladesh,26–60,Female,Student,Occasionally,Repetitive & Routine Tasks,Hiring & Career Decisions,5,5,4,4,4,Data-heavy tasks,Involves sensitive/personal information,No,Human oversight or approval options,Mixed,Yes,AI handles small tasks only,Do not decide personal matters
Bangladesh,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Safety‑Critical Decisions,5,1,4,4,2,Data-heavy tasks,Involves sensitive/personal information,Yes,Human oversight,Cautious,No,Human final approval required,Do not decide personal matters
United Kingdom,26–60,Male,Working Professional,Daily,Repetitive & Routine Tasks,Emotional & Personal Matters,4,2,5,3,4,Low-risk tasks,Requires empathy,Yes,Human oversight or approval options,Positive,Not sure,Shared control,Assist only when asked
USA,18–25,Male,Student,Occasionally,Repetitive & Routine Tasks,Emotional & Personal Matters,3,4,2,5,4,Low-risk tasks,High-risk tasks,Yes,Training,Cautious,No,Human final approval required,Protect privacy
Australia,26–60,Male,Working Professional,Weekly,Data & Analysis,Ethical & Human Rights,3,4,1,4,4,Repetitive work,Needs creativity or intuition,Yes,Human oversight or approval options,Mixed,Yes,AI handles small tasks only,Do not hallucinate
Russia,18–25,Male,Student,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,4,2,5,5,2,Time-consuming administrative work,High-risk tasks,No,Clear explanations,Curious but worried,No,Both integration,Do not decide personal matters
Australia,18–25,Female,Working Professional,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,5,2,3,5,2,Low-risk tasks,Requires empathy,No,Clear explanations,Curious but worried,No,Shared control,Always explain decisions
Russia,18–25,Male,Working Professional,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,5,2,3,4,3,Data-heavy tasks,Requires empathy,Yes,Transparency,Positive,Yes,Human final approval required,Human supervision always
USA,26–60,Female,Working Professional,Weekly,Study & Learning Support,Legal & Policy Decisions,4,2,4,5,3,Repetitive work,Requires empathy,Yes,Familiarity and training,Positive,No,AI handles small tasks only,Always explain decisions
Other,18–25,Prefer not to say,Student,Daily,Repetitive & Routine Tasks,Ethical & Human Rights,4,4,4,4,3,Repetitive work,High-risk tasks,Yes,Training,Mixed,No,Shared control,Human final approval required
India,18–25,Female,Working Professional,Daily,Study & Learning Support,Emotional & Personal Matters,5,2,4,4,3,Data-driven or analytical tasks,Requires empathy,Yes,Human oversight,Curious but worried,No,Both integration,Always explain decisions
Bangladesh,Under 18,Male,Student,Occasionally,Repetitive & Routine Tasks,Emotional & Personal Matters,4,3,3,4,3,Repetitive work,Needs creativity or intuition,Yes,Familiarity and training,Negative,Yes,Human final approval required,Be transparent
United Kingdom,Under 18,Female,Working Professional,Daily,Problem Solving & Coding (Basic),Medical & Health Decisions,5,1,2,5,3,Analytical tasks,Involves sensitive/personal information,No,Ethical guidelines,Curious but worried,Yes,Human supervision always,Do not hallucinate
Middle Eastern,Under 18,Male,Student,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,4,2,4,5,3,Repetitive work,Sensitive personal data,Yes,Clear explanations,Negative,No,AI handles small tasks only,Be transparent
USA,18–25,Prefer not to say,Student,Occasionally,Data & Analysis,Ethical & Human Rights,4,3,3,5,5,Data-heavy tasks,Creative judgment,No,Clear explanations,Negative,No,AI handles small tasks only,Do not decide personal matters
Middle Eastern,18–25,Female,Working Professional,Occasionally,Research & Information,Ethical & Human Rights,4,2,2,3,4,Data-driven or analytical tasks,Involves sensitive/personal information,Yes,Human oversight,Ambivalent,No,Both integration,Human supervision always
India,26–60,Prefer not to say,Working Professional,Daily,Repetitive & Routine Tasks,Legal & Policy Decisions,5,2,2,5,3,Repetitive work,High-risk tasks,No,Ethical guidelines,Curious but worried,Yes,Both integration,Human final approval required
Australia,26–60,Male,Working Professional,Daily,Repetitive & Routine Tasks,Hiring & Career Decisions,4,4,1,4,4,Repetitive work,Requires empathy,No,Human oversight or approval options,Cautious,Yes,Human supervision always,Do not decide personal matters
Australia,18–25,Male,Working Professional,Weekly,Problem Solving & Coding (Basic),Legal & Policy Decisions,3,2,1,5,4,Data-heavy tasks,Involves sensitive/personal information,No,Familiarity and training,Mixed,No,Human final approval required,Always explain decisions
USA,18–25,Female,Working Professional,Daily,Study & Learning Support,Medical & Health Decisions,5,4,4,5,2,Time-consuming administrative work,High-risk tasks,No,Clear explanations,Cautious,No,Human supervision always,Human final approval required
